#Parameters = {distance_slot=0.6; distance_wg=1; h_wg=5; l1_slot=15; l2_slot=1; l_wg=110; lambda=30; t_wg=0.1; w_wg=21.94; Mesh Pass=3}
#"Z / mm"	"h-field_center_1 (Mesh Pass=3) [Re]"	"h-field_center_1 (Mesh Pass=3) [Im]"
#------------------------------------------------------------------------------------
-55.000000000000	-2.2463498115540	2.0268235206604
-54.862500000000	-2.6638259887695	2.4355139732361
-54.725000000000	-3.0813019275665	2.8442049026489
-54.587500000000	-3.4987664222717	3.2528839111328
-54.450000000000	-3.9162425994873	3.6615748405457
-54.312500000000	-4.2980322837830	4.0453615188599
-54.175000000000	-4.3497633934021	4.1988205909729
-54.037500000000	-4.4014949798584	4.3522796630859
-53.900000000000	-4.4532251358032	4.5057339668274
-53.762500000000	-4.5049567222595	4.6591930389404
-53.625000000000	-4.5547666549683	4.8106374740601
-53.487500000000	-4.5966515541077	4.9537715911865
-53.350000000000	-4.6385364532471	5.0969066619873
-53.212500000000	-4.6804199218750	5.2400369644165
-53.075000000000	-4.7223052978516	5.3831720352173
-52.937500000000	-4.7611780166626	5.5228414535522
-52.800000000000	-4.7927751541138	5.6541385650635
-52.662500000000	-4.8243722915649	5.7854347229004
-52.525000000000	-4.8559684753418	5.9167280197144
-52.387500000000	-4.8875656127930	6.0480251312256
-52.250000000000	-4.9150185585022	6.1741619110107
-52.112500000000	-4.9359965324402	6.2922372817993
-51.975000000000	-4.9569745063782	6.4103126525879
-51.837500000000	-4.9779520034790	6.5283842086792
-51.700000000000	-4.9989295005798	6.6464600563049
-51.562500000000	-5.0146222114563	6.7574815750122
-51.425000000000	-5.0247659683228	6.8610987663269
-51.287500000000	-5.0349092483521	6.9647150039673
-51.150000000000	-5.0450525283813	7.0683293342590
-51.012500000000	-5.0551958084106	7.1719460487366
-50.875000000000	-5.0589404106140	7.2664690017700
-50.737500000000	-5.0581521987915	7.3545513153076
-50.600000000000	-5.0573644638062	7.4426341056824
-50.462500000000	-5.0565767288208	7.5307145118713
-50.325000000000	-5.0557889938354	7.6187968254089
-50.187500000000	-5.0475506782532	7.6956529617310
-50.050000000000	-5.0358543395996	7.7672982215881
-49.912500000000	-5.0241575241089	7.8389434814453
-49.775000000000	-5.0124611854553	7.9105863571167
-49.637500000000	-5.0007643699646	7.9822316169739
-49.500000000000	-4.9806642532349	8.0404863357544
-49.362500000000	-4.9582014083862	8.0949764251709
-49.225000000000	-4.9357390403748	8.1494655609131
-49.087500000000	-4.9132766723633	8.2039546966553
-48.950000000000	-4.8908143043518	8.2584438323975
-48.812500000000	-4.8591289520264	8.2974128723145
-48.675000000000	-4.8261642456055	8.3342266082764
-48.537500000000	-4.7931985855103	8.3710412979126
-48.400000000000	-4.7602348327637	8.4078540802002
-48.262500000000	-4.7272691726685	8.4446697235107
-48.125000000000	-4.6844305992126	8.4639282226562
-47.987500000000	-4.6413450241089	8.4827508926392
-47.850000000000	-4.5982604026794	8.5015726089478
-47.712500000000	-4.5551762580872	8.5203952789307
-47.575000000000	-4.5113868713379	8.5378913879395
-47.437500000000	-4.4586801528931	8.5386171340942
-47.300000000000	-4.4059734344482	8.5393428802490
-47.162500000000	-4.3532667160034	8.5400676727295
-47.025000000000	-4.3005609512329	8.5407943725586
-46.887500000000	-4.2463154792786	8.5384483337402
-46.750000000000	-4.1845989227295	8.5211954116821
-46.612500000000	-4.1228823661804	8.5039415359497
-46.475000000000	-4.0611658096313	8.4866886138916
-46.337500000000	-3.9994506835938	8.4694347381592
-46.200000000000	-3.9355101585388	8.4474468231201
-46.062500000000	-3.8655056953430	8.4125528335571
-45.925000000000	-3.7955017089844	8.3776588439941
-45.787500000000	-3.7254977226257	8.3427658081055
-45.650000000000	-3.6554956436157	8.3078727722168
-45.512500000000	-3.5827612876892	8.2667331695557
-45.375000000000	-3.5052978992462	8.2147693634033
-45.237500000000	-3.4278340339661	8.1628055572510
-45.100000000000	-3.3503704071045	8.1108436584473
-44.962500000000	-3.2729091644287	8.0588817596436
-44.825000000000	-3.1924185752869	7.9993782043457
-44.687500000000	-3.1084241867065	7.9311485290527
-44.550000000000	-3.0244302749634	7.8629188537598
-44.412500000000	-2.9404358863831	7.7946891784668
-44.275000000000	-2.8564441204071	7.7264614105225
-44.137500000000	-2.7693607807159	7.6496896743774
-44.000000000000	-2.6798605918884	7.5662345886230
-43.862500000000	-2.5903606414795	7.4827795028687
-43.725000000000	-2.5008602142334	7.3993244171143
-43.587500000000	-2.4113626480103	7.3158712387085
-43.450000000000	-2.3189713954926	7.2232303619385
-43.312500000000	-2.2250819206238	7.1258287429810
